Buy:    price = 342.23 ||  money = 132.60
*******************************************************
Sold:   price = 347.29 ||  money = 133.58
Buy:    price = 343.45 ||  money = 133.58
*******************************************************
Sold:   price = 345.72 ||  money = 134.02
Buy:    price = 345.34 ||  money = 134.02
*******************************************************
Sold:   price = 345.78 ||  money = 134.11
Buy:    price = 343.59 ||  money = 134.11
*******************************************************
Sold:   price = 343.70 ||  money = 134.13
Buy:    price = 343.39 ||  money = 134.13
*******************************************************
Sold:   price = 351.24 ||  money = 135.66
Buy:    price = 349.87 ||  money = 135.66
*******************************************************
Sold:   price = 352.77 ||  money = 136.23
Buy:    price = 347.28 ||  money = 136.23
*******************************************************
Sold:   price = 348.31 ||  money = 136.43
Buy:    price = 348.25 ||  money = 136.43
*******************************************************
Sold:   price = 349.54 ||  money = 136.68
Buy:    price = 347.55 ||  money = 136.68
*******************************************************
Sold:   price = 350.28 ||  money = 137.22
Buy:    price = 349.53 ||  money = 137.22
*******************************************************
Sold:   price = 351.48 ||  money = 137.60
Buy:    price = 350.57 ||  money = 137.60
*******************************************************
Sold:   price = 350.86 ||  money = 137.66
Buy:    price = 347.12 ||  money = 137.66
*******************************************************
Sold:   price = 348.47 ||  money = 137.93
Buy:    price = 347.95 ||  money = 137.93
*******************************************************
Sold:   price = 348.58 ||  money = 138.05
Buy:    price = 348.10 ||  money = 138.05
*******************************************************
Sold:   price = 348.94 ||  money = 138.22
Buy:    price = 344.85 ||  money = 138.22
*******************************************************
Sold:   price = 346.99 ||  money = 138.65
Buy:    price = 346.92 ||  money = 138.65
*******************************************************
Sold:   price = 349.89 ||  money = 139.24
Buy:    price = 348.55 ||  money = 139.24
*******************************************************
Sold:   price = 349.81 ||  money = 139.49
Buy:    price = 347.75 ||  money = 139.49
*******************************************************
Sold:   price = 360.99 ||  money = 142.15
Buy:    price = 356.51 ||  money = 142.15
*******************************************************
Sold:   price = 357.76 ||  money = 142.40
Buy:    price = 356.58 ||  money = 142.40
*******************************************************
Sold:   price = 357.72 ||  money = 142.62
Buy:    price = 356.84 ||  money = 142.62
*******************************************************
Sold:   price = 357.96 ||  money = 142.85
Buy:    price = 356.69 ||  money = 142.85
*******************************************************
Sold:   price = 358.91 ||  money = 143.29
Buy:    price = 352.88 ||  money = 143.29
*******************************************************
Sold:   price = 353.15 ||  money = 143.35
Buy:    price = 351.15 ||  money = 143.35
*******************************************************
Sold:   price = 351.69 ||  money = 143.46
Buy:    price = 351.50 ||  money = 143.46
*******************************************************
Sold:   price = 353.29 ||  money = 143.82
Buy:    price = 351.96 ||  money = 143.82
*******************************************************
Sold:   price = 356.47 ||  money = 144.74
Buy:    price = 354.00 ||  money = 144.74
*******************************************************
Sold:   price = 355.51 ||  money = 145.05
Buy:    price = 355.20 ||  money = 145.05
*******************************************************
Sold:   price = 355.27 ||  money = 145.07
Buy:    price = 353.13 ||  money = 145.07
*******************************************************
Sold:   price = 354.30 ||  money = 145.31
Buy:    price = 353.91 ||  money = 145.31
*******************************************************
Sold:   price = 355.52 ||  money = 145.64
Buy:    price = 355.20 ||  money = 145.64
*******************************************************
Sold:   price = 355.40 ||  money = 145.68
Buy:    price = 354.39 ||  money = 145.68
*******************************************************
Sold:   price = 355.81 ||  money = 145.97
Buy:    price = 355.03 ||  money = 145.97
*******************************************************
Sold:   price = 355.55 ||  money = 146.08
Buy:    price = 353.28 ||  money = 146.08
*******************************************************
Sold:   price = 355.19 ||  money = 146.47
Buy:    price = 354.12 ||  money = 146.47
*******************************************************
Sold:   price = 354.90 ||  money = 146.63
Buy:    price = 354.60 ||  money = 146.63
*******************************************************
Sold:   price = 355.17 ||  money = 146.75
Buy:    price = 354.08 ||  money = 146.75
*******************************************************
Sold:   price = 354.88 ||  money = 146.92
Buy:    price = 353.54 ||  money = 146.92
*******************************************************
Sold:   price = 356.29 ||  money = 147.49
Buy:    price = 353.42 ||  money = 147.49
*******************************************************
Sold:   price = 354.71 ||  money = 147.76
Buy:    price = 350.57 ||  money = 147.76
*******************************************************
Sold:   price = 352.06 ||  money = 148.07
Buy:    price = 349.95 ||  money = 148.07
*******************************************************
Sold:   price = 352.35 ||  money = 148.58
Buy:    price = 350.99 ||  money = 148.58
*******************************************************
Sold:   price = 351.05 ||  money = 148.59
Buy:    price = 350.08 ||  money = 148.59
*******************************************************
Sold:   price = 354.09 ||  money = 149.44
Buy:    price = 353.18 ||  money = 149.44
*******************************************************
Sold:   price = 354.55 ||  money = 149.73
Buy:    price = 353.23 ||  money = 149.73
*******************************************************
Sold:   price = 357.72 ||  money = 150.68
Buy:    price = 355.26 ||  money = 150.68
*******************************************************
Sold:   price = 356.10 ||  money = 150.86
Buy:    price = 355.40 ||  money = 150.86
*******************************************************
Sold:   price = 355.97 ||  money = 150.98
Buy:    price = 353.08 ||  money = 150.98
*******************************************************
Sold:   price = 356.28 ||  money = 151.67
Buy:    price = 356.11 ||  money = 151.67
*******************************************************
Sold:   price = 356.73 ||  money = 151.80
Buy:    price = 356.11 ||  money = 151.80
*******************************************************
Sold:   price = 356.79 ||  money = 151.94
Buy:    price = 356.13 ||  money = 151.94
*******************************************************
Sold:   price = 356.44 ||  money = 152.01
Buy:    price = 355.11 ||  money = 152.01
*******************************************************
Sold:   price = 356.57 ||  money = 152.32
Buy:    price = 355.94 ||  money = 152.32
*******************************************************
Sold:   price = 356.09 ||  money = 152.36
Buy:    price = 355.39 ||  money = 152.36
*******************************************************
Sold:   price = 355.79 ||  money = 152.44
Buy:    price = 351.86 ||  money = 152.44
*******************************************************
Sold:   price = 353.80 ||  money = 152.86
Buy:    price = 352.80 ||  money = 152.86
*******************************************************
Sold:   price = 352.90 ||  money = 152.88
Buy:    price = 352.56 ||  money = 152.88
*******************************************************
Sold:   price = 352.86 ||  money = 152.95
Buy:    price = 352.64 ||  money = 152.95
*******************************************************
Sold:   price = 354.04 ||  money = 153.25
Buy:    price = 350.70 ||  money = 153.25
*******************************************************
Sold:   price = 352.05 ||  money = 153.55
Buy:    price = 350.49 ||  money = 153.55
*******************************************************
Sold:   price = 353.34 ||  money = 154.17
Buy:    price = 351.17 ||  money = 154.17
*******************************************************
Sold:   price = 352.17 ||  money = 154.39
Buy:    price = 351.55 ||  money = 154.39
*******************************************************
Sold:   price = 352.98 ||  money = 154.70
Buy:    price = 352.36 ||  money = 154.70
*******************************************************
Sold:   price = 353.66 ||  money = 154.99
Buy:    price = 353.49 ||  money = 154.99
*******************************************************
Sold:   price = 354.05 ||  money = 155.11
Buy:    price = 353.77 ||  money = 155.11
*******************************************************
Sold:   price = 354.19 ||  money = 155.20
Buy:    price = 351.71 ||  money = 155.20
*******************************************************
Sold:   price = 352.87 ||  money = 155.46
Buy:    price = 351.78 ||  money = 155.46
*******************************************************
Sold:   price = 352.64 ||  money = 155.65
Buy:    price = 352.49 ||  money = 155.65
*******************************************************
Sold:   price = 356.35 ||  money = 156.50
Buy:    price = 355.96 ||  money = 156.50
*******************************************************
Sold:   price = 356.34 ||  money = 156.59
Buy:    price = 355.23 ||  money = 156.59
*******************************************************
Sold:   price = 356.09 ||  money = 156.78
Buy:    price = 356.07 ||  money = 156.78
*******************************************************
Sold:   price = 356.86 ||  money = 156.95
Buy:    price = 356.36 ||  money = 156.95
*******************************************************
Sold:   price = 356.93 ||  money = 157.08
Buy:    price = 356.29 ||  money = 157.08
*******************************************************
Sold:   price = 356.59 ||  money = 157.14
Buy:    price = 354.75 ||  money = 157.14
*******************************************************
Sold:   price = 355.50 ||  money = 157.31
Buy:    price = 353.36 ||  money = 157.31
*******************************************************
Sold:   price = 354.55 ||  money = 157.57
Buy:    price = 354.17 ||  money = 157.57
*******************************************************
Sold:   price = 355.27 ||  money = 157.82
Buy:    price = 354.50 ||  money = 157.82
*******************************************************
Sold:   price = 355.43 ||  money = 158.02
Buy:    price = 353.99 ||  money = 158.02
*******************************************************
Sold:   price = 354.65 ||  money = 158.17
Buy:    price = 353.64 ||  money = 158.17
*******************************************************
Sold:   price = 354.70 ||  money = 158.41
Buy:    price = 353.65 ||  money = 158.41
*******************************************************
Sold:   price = 356.38 ||  money = 159.02
Buy:    price = 355.29 ||  money = 159.02
*******************************************************
Sold:   price = 356.65 ||  money = 159.32
Buy:    price = 354.52 ||  money = 159.32
*******************************************************
Sold:   price = 356.07 ||  money = 159.67
Buy:    price = 354.29 ||  money = 159.67
*******************************************************
Sold:   price = 355.75 ||  money = 160.00
Buy:    price = 354.55 ||  money = 160.00
*******************************************************
Sold:   price = 354.93 ||  money = 160.09
Buy:    price = 353.17 ||  money = 160.09
*******************************************************
Sold:   price = 353.99 ||  money = 160.27
Buy:    price = 352.93 ||  money = 160.27
*******************************************************
Sold:   price = 353.19 ||  money = 160.33
Buy:    price = 350.92 ||  money = 160.33
*******************************************************
Sold:   price = 351.53 ||  money = 160.47
Buy:    price = 351.22 ||  money = 160.47
*******************************************************
Sold:   price = 354.31 ||  money = 161.18
Buy:    price = 353.59 ||  money = 161.18
*******************************************************
Sold:   price = 353.67 ||  money = 161.20
Buy:    price = 352.44 ||  money = 161.20
*******************************************************
Sold:   price = 353.24 ||  money = 161.38
Buy:    price = 352.53 ||  money = 161.38
*******************************************************
Sold:   price = 353.91 ||  money = 161.69
Buy:    price = 352.63 ||  money = 161.69
*******************************************************
Sold:   price = 354.38 ||  money = 162.10
Buy:    price = 352.78 ||  money = 162.10
*******************************************************
Sold:   price = 353.18 ||  money = 162.19
Buy:    price = 352.25 ||  money = 162.19
*******************************************************
Sold:   price = 353.13 ||  money = 162.39
Buy:    price = 352.30 ||  money = 162.39
*******************************************************
Sold:   price = 352.94 ||  money = 162.54
Buy:    price = 348.06 ||  money = 162.54
*******************************************************
Sold:   price = 348.27 ||  money = 162.59
Buy:    price = 346.33 ||  money = 162.59
*******************************************************
Sold:   price = 347.51 ||  money = 162.86
Buy:    price = 346.47 ||  money = 162.86
*******************************************************
Sold:   price = 346.80 ||  money = 162.94
Buy:    price = 340.16 ||  money = 162.94
*******************************************************
Sold:   price = 341.74 ||  money = 163.32
Buy:    price = 338.75 ||  money = 163.32
*******************************************************
Sold:   price = 341.86 ||  money = 164.07
Buy:    price = 341.85 ||  money = 164.07
*******************************************************
Sold:   price = 342.57 ||  money = 164.24
Buy:    price = 340.36 ||  money = 164.24
*******************************************************
Sold:   price = 342.84 ||  money = 164.84
Buy:    price = 342.51 ||  money = 164.84
*******************************************************
Sold:   price = 342.52 ||  money = 164.84
Buy:    price = 342.25 ||  money = 164.84
*******************************************************
Sold:   price = 343.37 ||  money = 165.11
Buy:    price = 340.94 ||  money = 165.11
*******************************************************
Sold:   price = 342.83 ||  money = 165.57
